ZoneName,Year,Month,Male,Female,Total
West Zone,2011,1,113,70,183
West Zone,2011,2,96,62,158
West Zone,2011,3,86,56,142
West Zone,2011,4,71,57,128
West Zone,2011,5,66,40,106
West Zone,2011,6,91,55,146
West Zone,2011,7,66,65,131
West Zone,2011,8,83,63,146
West Zone,2011,9,86,77,163
West Zone,2011,10,68,59,127
West Zone,2011,11,80,64,144
West Zone,2011,12,88,76,164
Central Zone,2011,1,273,174,447
Central Zone,2011,2,240,150,390
Central Zone,2011,3,212,185,397
Central Zone,2011,4,201,144,345
Central Zone,2011,5,205,178,383
Central Zone,2011,6,199,154,353
Central Zone,2011,7,188,147,335
Central Zone,2011,8,214,156,370
Central Zone,2011,9,284,217,501
Central Zone,2011,10,234,164,398
Central Zone,2011,11,275,209,484
Central Zone,2011,12,183,150,333
North Zone,2011,1,101,75,176
North Zone,2011,2,92,59,151
North Zone,2011,3,89,68,157
North Zone,2011,4,75,55,130
North Zone,2011,5,85,73,158
North Zone,2011,6,80,68,148
North Zone,2011,7,73,55,128
North Zone,2011,8,93,60,153
North Zone,2011,9,109,74,183
North Zone,2011,10,95,50,145
North Zone,2011,11,111,70,181
North Zone,2011,12,87,81,168
East Zone,2011,1,177,115,292
East Zone,2011,2,149,103,252
East Zone,2011,3,163,110,273
East Zone,2011,4,155,105,260
East Zone,2011,5,132,94,226
East Zone,2011,6,159,103,262
East Zone,2011,7,185,130,315
East Zone,2011,8,170,110,280
East Zone,2011,9,164,125,289
East Zone,2011,10,152,128,280
East Zone,2011,11,166,119,285
East Zone,2011,12,138,112,250
South Zone,2011,1,70,55,125
South Zone,2011,2,52,36,88
South Zone,2011,3,82,49,131
South Zone,2011,4,53,36,89
South Zone,2011,5,67,47,114
South Zone,2011,6,71,35,106
South Zone,2011,7,48,45,93
South Zone,2011,8,78,41,119
South Zone,2011,9,77,49,126
South Zone,2011,10,79,42,121
South Zone,2011,11,70,40,110
South Zone,2011,12,74,66,140
South West Zone,2011,1,208,117,325
South West Zone,2011,2,213,119,332
South West Zone,2011,3,228,153,381
South West Zone,2011,4,231,97,328
South West Zone,2011,5,197,133,330
South West Zone,2011,6,194,128,322
South West Zone,2011,7,187,127,314
South West Zone,2011,8,220,122,342
South West Zone,2011,9,333,220,553
South West Zone,2011,10,207,123,330
South West Zone,2011,11,248,152,400
South West Zone,2011,12,206,123,329
South East Zone,2011,1,73,46,119
South East Zone,2011,2,55,34,89
South East Zone,2011,3,63,60,123
South East Zone,2011,4,72,32,104
South East Zone,2011,5,65,47,112
South East Zone,2011,6,58,45,103
South East Zone,2011,7,79,53,132
South East Zone,2011,8,65,56,121
South East Zone,2011,9,87,57,144
South East Zone,2011,10,54,59,113
South East Zone,2011,11,70,64,134
South East Zone,2011,12,73,50,123
