ZoneName,Year,Month,Male,Female,Total
West Zone,2010,1,94,70,164
West Zone,2010,2,73,56,129
West Zone,2010,3,88,61,149
West Zone,2010,4,68,48,116
West Zone,2010,5,86,61,147
West Zone,2010,6,73,56,129
West Zone,2010,7,76,57,133
West Zone,2010,8,75,64,139
West Zone,2010,9,99,56,155
West Zone,2010,10,62,54,116
West Zone,2010,11,80,56,136
West Zone,2010,12,99,64,163
Central Zone,2010,1,237,163,400
Central Zone,2010,2,211,113,324
Central Zone,2010,3,244,161,405
Central Zone,2010,4,187,160,347
Central Zone,2010,5,216,205,421
Central Zone,2010,6,218,134,352
Central Zone,2010,7,233,137,370
Central Zone,2010,8,246,181,427
Central Zone,2010,9,257,178,435
Central Zone,2010,10,235,196,431
Central Zone,2010,11,259,177,436
Central Zone,2010,12,299,207,506
North Zone,2010,1,67,59,126
North Zone,2010,2,61,45,106
North Zone,2010,3,81,58,139
North Zone,2010,4,91,46,137
North Zone,2010,5,70,58,128
North Zone,2010,6,71,57,128
North Zone,2010,7,75,69,144
North Zone,2010,8,102,71,173
North Zone,2010,9,105,65,170
North Zone,2010,10,88,74,162
North Zone,2010,11,94,54,148
North Zone,2010,12,116,74,190
East Zone,2010,1,193,129,322
East Zone,2010,2,132,97,229
East Zone,2010,3,165,95,260
East Zone,2010,4,126,116,242
East Zone,2010,5,150,116,266
East Zone,2010,6,149,98,247
East Zone,2010,7,174,125,299
East Zone,2010,8,176,128,304
East Zone,2010,9,220,128,348
East Zone,2010,10,192,116,308
East Zone,2010,11,171,85,256
East Zone,2010,12,155,134,289
South Zone,2010,1,88,36,124
South Zone,2010,2,73,57,130
South Zone,2010,3,57,39,96
South Zone,2010,4,49,33,82
South Zone,2010,5,67,47,114
South Zone,2010,6,72,41,113
South Zone,2010,7,64,46,110
South Zone,2010,8,74,44,118
South Zone,2010,9,58,42,100
South Zone,2010,10,97,57,154
South Zone,2010,11,54,30,84
South Zone,2010,12,87,47,134
South West Zone,2010,1,205,116,321
South West Zone,2010,2,180,102,282
South West Zone,2010,3,244,135,379
South West Zone,2010,4,183,132,315
South West Zone,2010,5,179,125,304
South West Zone,2010,6,200,96,296
South West Zone,2010,7,205,129,334
South West Zone,2010,8,229,168,397
South West Zone,2010,9,242,130,372
South West Zone,2010,10,319,142,461
South West Zone,2010,11,229,119,348
South West Zone,2010,12,249,142,391
South East Zone,2010,1,71,26,97
South East Zone,2010,2,66,60,126
South East Zone,2010,3,59,40,99
South East Zone,2010,4,69,37,106
South East Zone,2010,5,65,39,104
South East Zone,2010,6,57,40,97
South East Zone,2010,7,88,58,146
South East Zone,2010,8,82,55,137
South East Zone,2010,9,101,40,141
South East Zone,2010,10,64,48,112
South East Zone,2010,11,60,42,102
South East Zone,2010,12,97,54,151
