ZoneName,Year,Month,Male,Female,Total
West Zone,2009,1,84,54,138
West Zone,2009,2,76,49,125
West Zone,2009,3,82,64,146
West Zone,2009,4,62,55,117
West Zone,2009,5,72,60,132
West Zone,2009,6,72,60,132
West Zone,2009,7,73,66,139
West Zone,2009,8,74,50,124
West Zone,2009,9,82,42,124
West Zone,2009,10,65,64,129
West Zone,2009,11,74,61,135
West Zone,2009,12,68,56,124
Central Zone,2009,1,289,193,482
Central Zone,2009,2,191,155,346
Central Zone,2009,3,214,142,356
Central Zone,2009,4,196,156,352
Central Zone,2009,5,195,151,346
Central Zone,2009,6,195,130,325
Central Zone,2009,7,247,162,409
Central Zone,2009,8,208,155,363
Central Zone,2009,9,258,155,413
Central Zone,2009,10,233,164,397
Central Zone,2009,11,206,158,364
Central Zone,2009,12,237,175,412
North Zone,2009,1,101,55,156
North Zone,2009,2,61,65,126
North Zone,2009,3,60,52,112
North Zone,2009,4,72,48,120
North Zone,2009,5,74,53,127
North Zone,2009,6,65,49,114
North Zone,2009,7,70,43,113
North Zone,2009,8,74,53,127
North Zone,2009,9,75,55,130
North Zone,2009,10,78,46,124
North Zone,2009,11,97,57,154
North Zone,2009,12,78,75,153
East Zone,2009,1,206,107,313
East Zone,2009,2,142,94,236
East Zone,2009,3,158,94,252
East Zone,2009,4,141,88,229
East Zone,2009,5,172,103,275
East Zone,2009,6,114,62,176
East Zone,2009,7,165,113,278
East Zone,2009,8,131,100,231
East Zone,2009,9,162,114,276
East Zone,2009,10,153,106,259
East Zone,2009,11,150,100,250
East Zone,2009,12,129,73,202
South Zone,2009,1,45,32,77
South Zone,2009,2,54,25,79
South Zone,2009,3,53,39,92
South Zone,2009,4,49,40,89
South Zone,2009,5,50,27,77
South Zone,2009,6,58,24,82
South Zone,2009,7,64,46,110
South Zone,2009,8,47,22,69
South Zone,2009,9,79,39,118
South Zone,2009,10,72,36,108
South Zone,2009,11,59,52,111
South Zone,2009,12,53,27,80
South West Zone,2009,1,209,121,330
South West Zone,2009,2,186,98,284
South West Zone,2009,3,186,119,305
South West Zone,2009,4,161,104,265
South West Zone,2009,5,176,140,316
South West Zone,2009,6,182,101,283
South West Zone,2009,7,193,137,330
South West Zone,2009,8,213,106,319
South West Zone,2009,9,208,142,350
South West Zone,2009,10,223,157,380
South West Zone,2009,11,224,150,374
South West Zone,2009,12,195,119,314
South East Zone,2009,1,77,34,111
South East Zone,2009,2,62,41,103
South East Zone,2009,3,55,24,79
South East Zone,2009,4,58,33,91
South East Zone,2009,5,53,26,79
South East Zone,2009,6,44,45,89
South East Zone,2009,7,73,43,116
South East Zone,2009,8,65,37,102
South East Zone,2009,9,68,35,103
South East Zone,2009,10,41,29,70
South East Zone,2009,11,68,28,96
South East Zone,2009,12,70,33,103
