ZoneName,Year,Month,Male,Female,Total
West Zone,2014,1,146,92,238
West Zone,2014,2,88,73,161
West Zone,2014,3,107,83,190
West Zone,2014,4,91,65,156
West Zone,2014,5,106,80,186
West Zone,2014,6,89,73,162
West Zone,2014,7,92,79,171
West Zone,2014,8,106,81,187
West Zone,2014,9,102,76,178
West Zone,2014,10,98,79,177
West Zone,2014,11,89,66,155
West Zone,2014,12,99,79,178
Central Zone,2014,1,275,195,470
Central Zone,2014,2,189,152,341
Central Zone,2014,3,223,167,390
Central Zone,2014,4,226,143,369
Central Zone,2014,5,229,168,397
Central Zone,2014,6,198,134,332
Central Zone,2014,7,196,141,337
Central Zone,2014,8,233,151,384
Central Zone,2014,9,220,153,373
Central Zone,2014,10,242,163,405
Central Zone,2014,11,218,170,388
Central Zone,2014,12,272,177,449
North Zone,2014,1,127,94,221
North Zone,2014,2,94,76,170
North Zone,2014,3,121,78,199
North Zone,2014,4,100,78,178
North Zone,2014,5,104,92,196
North Zone,2014,6,91,71,162
North Zone,2014,7,116,82,198
North Zone,2014,8,121,72,193
North Zone,2014,9,106,77,183
North Zone,2014,10,103,72,175
North Zone,2014,11,95,75,170
North Zone,2014,12,115,99,214
East Zone,2014,1,213,146,359
East Zone,2014,2,164,140,304
East Zone,2014,3,164,124,288
East Zone,2014,4,189,133,322
East Zone,2014,5,208,139,347
East Zone,2014,6,195,143,338
East Zone,2014,7,217,154,371
East Zone,2014,8,229,125,354
East Zone,2014,9,234,161,395
East Zone,2014,10,216,120,336
East Zone,2014,11,244,154,398
East Zone,2014,12,260,171,431
South Zone,2014,1,70,45,115
South Zone,2014,2,76,31,107
South Zone,2014,3,83,47,130
South Zone,2014,4,70,46,116
South Zone,2014,5,71,53,124
South Zone,2014,6,76,48,124
South Zone,2014,7,78,54,132
South Zone,2014,8,74,39,113
South Zone,2014,9,75,62,137
South Zone,2014,10,65,45,110
South Zone,2014,11,65,32,97
South Zone,2014,12,86,47,133
South West Zone,2014,1,321,196,517
South West Zone,2014,2,269,162,431
South West Zone,2014,3,315,165,480
South West Zone,2014,4,211,134,345
South West Zone,2014,5,249,164,413
South West Zone,2014,6,286,157,443
South West Zone,2014,7,235,135,370
South West Zone,2014,8,228,133,361
South West Zone,2014,9,337,181,518
South West Zone,2014,10,208,152,360
South West Zone,2014,11,261,186,447
South West Zone,2014,12,232,145,377
South East Zone,2014,1,90,71,161
South East Zone,2014,2,76,47,123
South East Zone,2014,3,76,47,123
South East Zone,2014,4,77,49,126
South East Zone,2014,5,65,44,109
South East Zone,2014,6,80,53,133
South East Zone,2014,7,67,48,115
South East Zone,2014,8,84,65,149
South East Zone,2014,9,87,58,145
South East Zone,2014,10,74,51,125
South East Zone,2014,11,89,51,140
South East Zone,2014,12,92,66,158
