ZoneName,Year,Month,Male,Female,Total
West Zone,2015,1,256,247,503
West Zone,2015,2,202,199,401
West Zone,2015,3,245,221,466
West Zone,2015,4,239,228,467
West Zone,2015,5,245,251,496
West Zone,2015,6,276,258,534
West Zone,2015,7,231,230,461
West Zone,2015,8,265,245,510
West Zone,2015,9,339,255,594
West Zone,2015,10,347,297,644
West Zone,2015,11,327,305,632
West Zone,2015,12,287,277,564
Central Zone,2015,1,432,391,823
Central Zone,2015,2,373,317,690
Central Zone,2015,3,380,359,739
Central Zone,2015,4,414,358,772
Central Zone,2015,5,463,465,928
Central Zone,2015,6,435,346,781
Central Zone,2015,7,395,369,764
Central Zone,2015,8,479,469,948
Central Zone,2015,9,613,517,1130
Central Zone,2015,10,511,487,998
Central Zone,2015,11,501,499,1000
Central Zone,2015,12,479,441,920
North Zone,2015,1,403,344,747
North Zone,2015,2,314,286,600
North Zone,2015,3,356,331,687
North Zone,2015,4,355,291,646
North Zone,2015,5,361,328,689
North Zone,2015,6,386,318,704
North Zone,2015,7,416,330,746
North Zone,2015,8,408,376,784
North Zone,2015,9,527,436,963
North Zone,2015,10,509,414,923
North Zone,2015,11,432,376,808
North Zone,2015,12,428,327,755
East Zone,2015,1,1000,797,1797
East Zone,2015,2,859,677,1536
East Zone,2015,3,923,665,1588
East Zone,2015,4,1031,820,1851
East Zone,2015,5,985,766,1751
East Zone,2015,6,1031,845,1876
East Zone,2015,7,1107,840,1947
East Zone,2015,8,1134,943,2077
East Zone,2015,9,1479,1148,2627
East Zone,2015,10,1302,1102,2404
East Zone,2015,11,1192,1049,2241
East Zone,2015,12,1296,1009,2305
South Zone,2015,1,387,311,698
South Zone,2015,2,329,277,606
South Zone,2015,3,420,278,698
South Zone,2015,4,354,319,673
South Zone,2015,5,331,310,641
South Zone,2015,6,386,300,686
South Zone,2015,7,372,316,688
South Zone,2015,8,374,309,683
South Zone,2015,9,522,424,946
South Zone,2015,10,470,444,914
South Zone,2015,11,420,414,834
South Zone,2015,12,433,380,813
South West Zone,2015,1,620,590,1210
South West Zone,2015,2,336,321,657
South West Zone,2015,3,483,465,948
South West Zone,2015,4,425,379,804
South West Zone,2015,5,561,468,1029
South West Zone,2015,6,523,491,1014
South West Zone,2015,7,535,484,1019
South West Zone,2015,8,510,472,982
South West Zone,2015,9,646,573,1219
South West Zone,2015,10,695,703,1398
South West Zone,2015,11,639,594,1233
South West Zone,2015,12,506,436,942
South East Zone,2015,1,254,258,512
South East Zone,2015,2,181,149,330
South East Zone,2015,3,208,204,412
South East Zone,2015,4,187,155,342
South East Zone,2015,5,238,166,404
South East Zone,2015,6,203,183,386
South East Zone,2015,7,209,198,407
South East Zone,2015,8,238,195,433
South East Zone,2015,9,279,270,549
South East Zone,2015,10,258,259,517
South East Zone,2015,11,222,235,457
South East Zone,2015,12,290,252,542
