ZoneName,Year,Month,Male,Female,Total
West Zone,2013,1,254,266,520
West Zone,2013,2,239,217,456
West Zone,2013,3,263,208,471
West Zone,2013,4,239,243,482
West Zone,2013,5,253,263,516
West Zone,2013,6,221,190,411
West Zone,2013,7,271,243,514
West Zone,2013,8,304,265,569
West Zone,2013,9,268,211,479
West Zone,2013,10,352,295,647
West Zone,2013,11,239,230,469
West Zone,2013,12,268,254,522
Central Zone,2013,1,545,508,1053
Central Zone,2013,2,454,401,855
Central Zone,2013,3,483,433,916
Central Zone,2013,4,466,385,851
Central Zone,2013,5,526,497,1023
Central Zone,2013,6,463,376,839
Central Zone,2013,7,482,439,921
Central Zone,2013,8,572,534,1106
Central Zone,2013,9,605,530,1135
Central Zone,2013,10,618,583,1201
Central Zone,2013,11,532,529,1061
Central Zone,2013,12,496,488,984
North Zone,2013,1,448,345,793
North Zone,2013,2,305,256,561
North Zone,2013,3,423,313,736
North Zone,2013,4,375,313,688
North Zone,2013,5,459,325,784
North Zone,2013,6,417,293,710
North Zone,2013,7,375,288,663
North Zone,2013,8,539,372,911
North Zone,2013,9,451,396,847
North Zone,2013,10,564,402,966
North Zone,2013,11,418,359,777
North Zone,2013,12,489,358,847
East Zone,2013,1,1020,780,1800
East Zone,2013,2,844,662,1506
East Zone,2013,3,851,675,1526
East Zone,2013,4,890,698,1588
East Zone,2013,5,1035,796,1831
East Zone,2013,6,898,647,1545
East Zone,2013,7,996,801,1797
East Zone,2013,8,1197,992,2189
East Zone,2013,9,1157,834,1991
East Zone,2013,10,1286,1078,2364
East Zone,2013,11,1048,876,1924
East Zone,2013,12,1086,853,1939
South Zone,2013,1,397,294,691
South Zone,2013,2,314,272,586
South Zone,2013,3,373,328,701
South Zone,2013,4,431,392,823
South Zone,2013,5,366,322,688
South Zone,2013,6,333,269,602
South Zone,2013,7,433,369,802
South Zone,2013,8,357,321,678
South Zone,2013,9,498,413,911
South Zone,2013,10,540,487,1027
South Zone,2013,11,355,287,642
South Zone,2013,12,501,448,949
South West Zone,2013,1,535,433,968
South West Zone,2013,2,460,427,887
South West Zone,2013,3,396,325,721
South West Zone,2013,4,441,400,841
South West Zone,2013,5,608,510,1118
South West Zone,2013,6,391,371,762
South West Zone,2013,7,452,390,842
South West Zone,2013,8,653,528,1181
South West Zone,2013,9,463,414,877
South West Zone,2013,10,817,717,1534
South West Zone,2013,11,622,560,1182
South West Zone,2013,12,534,467,1001
South East Zone,2013,1,255,223,478
South East Zone,2013,2,180,165,345
South East Zone,2013,3,281,276,557
South East Zone,2013,4,222,200,422
South East Zone,2013,5,265,225,490
South East Zone,2013,6,270,224,494
South East Zone,2013,7,236,191,427
South East Zone,2013,8,254,248,502
South East Zone,2013,9,237,198,435
South East Zone,2013,10,340,329,669
South East Zone,2013,11,254,225,479
South East Zone,2013,12,313,269,582
