ZoneName,Year,Month,Male,Female,Total
West Zone,2011,1,208,207,415
West Zone,2011,2,118,124,242
West Zone,2011,3,273,217,490
West Zone,2011,4,234,203,437
West Zone,2011,5,217,201,418
West Zone,2011,6,256,208,464
West Zone,2011,7,250,204,454
West Zone,2011,8,273,238,511
West Zone,2011,9,306,269,575
West Zone,2011,10,297,308,605
West Zone,2011,11,330,290,620
West Zone,2011,12,279,256,535
Central Zone,2011,1,435,385,820
Central Zone,2011,2,361,328,689
Central Zone,2011,3,440,374,814
Central Zone,2011,4,461,376,837
Central Zone,2011,5,490,420,910
Central Zone,2011,6,470,416,886
Central Zone,2011,7,482,392,874
Central Zone,2011,8,563,481,1044
Central Zone,2011,9,624,549,1173
Central Zone,2011,10,618,509,1127
Central Zone,2011,11,724,612,1336
Central Zone,2011,12,543,506,1049
North Zone,2011,1,280,231,511
North Zone,2011,2,259,184,443
North Zone,2011,3,257,222,479
North Zone,2011,4,317,231,548
North Zone,2011,5,323,244,567
North Zone,2011,6,361,261,622
North Zone,2011,7,339,259,598
North Zone,2011,8,436,300,736
North Zone,2011,9,476,399,875
North Zone,2011,10,459,331,790
North Zone,2011,11,485,350,835
North Zone,2011,12,444,324,768
East Zone,2011,1,961,673,1634
East Zone,2011,2,626,424,1050
East Zone,2011,3,715,464,1179
East Zone,2011,4,760,548,1308
East Zone,2011,5,863,606,1469
East Zone,2011,6,954,654,1608
East Zone,2011,7,896,629,1525
East Zone,2011,8,1001,771,1772
East Zone,2011,9,1018,802,1820
East Zone,2011,10,1096,880,1976
East Zone,2011,11,1215,936,2151
East Zone,2011,12,1060,774,1834
South Zone,2011,1,368,315,683
South Zone,2011,2,262,205,467
South Zone,2011,3,324,269,593
South Zone,2011,4,336,244,580
South Zone,2011,5,350,298,648
South Zone,2011,6,333,252,585
South Zone,2011,7,339,289,628
South Zone,2011,8,299,257,556
South Zone,2011,9,650,460,1110
South Zone,2011,10,421,351,772
South Zone,2011,11,412,381,793
South Zone,2011,12,315,270,585
South West Zone,2011,1,343,284,627
South West Zone,2011,2,319,297,616
South West Zone,2011,3,379,324,703
South West Zone,2011,4,380,278,658
South West Zone,2011,5,398,363,761
South West Zone,2011,6,384,319,703
South West Zone,2011,7,408,371,779
South West Zone,2011,8,426,391,817
South West Zone,2011,9,554,438,992
South West Zone,2011,10,438,394,832
South West Zone,2011,11,537,464,1001
South West Zone,2011,12,507,449,956
South East Zone,2011,1,344,296,640
South East Zone,2011,2,250,196,446
South East Zone,2011,3,289,210,499
South East Zone,2011,4,244,203,447
South East Zone,2011,5,254,206,460
South East Zone,2011,6,318,252,570
South East Zone,2011,7,289,253,542
South East Zone,2011,8,320,247,567
South East Zone,2011,9,359,319,678
South East Zone,2011,10,324,295,619
South East Zone,2011,11,363,309,672
South East Zone,2011,12,301,251,552
