ZoneName,Year,Month,Male,Female,Total
West Zone,2014,1,293,253,546
West Zone,2014,2,208,195,403
West Zone,2014,3,229,226,455
West Zone,2014,4,214,188,402
West Zone,2014,5,279,236,515
West Zone,2014,6,211,214,425
West Zone,2014,7,254,239,493
West Zone,2014,8,265,246,511
West Zone,2014,9,320,324,644
West Zone,2014,10,295,305,600
West Zone,2014,11,280,279,559
West Zone,2014,12,264,238,502
Central Zone,2014,1,592,475,1067
Central Zone,2014,2,373,351,724
Central Zone,2014,3,475,424,899
Central Zone,2014,4,466,411,877
Central Zone,2014,5,477,486,963
Central Zone,2014,6,434,418,852
Central Zone,2014,7,456,418,874
Central Zone,2014,8,485,420,905
Central Zone,2014,9,551,534,1085
Central Zone,2014,10,583,516,1099
Central Zone,2014,11,536,456,992
Central Zone,2014,12,574,514,1088
North Zone,2014,1,400,292,692
North Zone,2014,2,300,263,563
North Zone,2014,3,463,321,784
North Zone,2014,4,360,347,707
North Zone,2014,5,414,355,769
North Zone,2014,6,369,249,618
North Zone,2014,7,411,315,726
North Zone,2014,8,410,291,701
North Zone,2014,9,456,387,843
North Zone,2014,10,535,414,949
North Zone,2014,11,424,356,780
North Zone,2014,12,433,379,812
East Zone,2014,1,992,866,1858
East Zone,2014,2,767,649,1416
East Zone,2014,3,931,693,1624
East Zone,2014,4,988,754,1742
East Zone,2014,5,1150,874,2024
East Zone,2014,6,872,727,1599
East Zone,2014,7,988,785,1773
East Zone,2014,8,1191,823,2014
East Zone,2014,9,1281,1073,2354
East Zone,2014,10,1222,1033,2255
East Zone,2014,11,1118,997,2115
East Zone,2014,12,1228,999,2227
South Zone,2014,1,297,249,546
South Zone,2014,2,376,328,704
South Zone,2014,3,376,316,692
South Zone,2014,4,341,317,658
South Zone,2014,5,389,329,718
South Zone,2014,6,336,281,617
South Zone,2014,7,364,315,679
South Zone,2014,8,405,329,734
South Zone,2014,9,496,435,931
South Zone,2014,10,460,403,863
South Zone,2014,11,424,379,803
South Zone,2014,12,468,374,842
South West Zone,2014,1,543,483,1026
South West Zone,2014,2,487,427,914
South West Zone,2014,3,504,457,961
South West Zone,2014,4,460,423,883
South West Zone,2014,5,453,442,895
South West Zone,2014,6,475,466,941
South West Zone,2014,7,481,411,892
South West Zone,2014,8,574,539,1113
South West Zone,2014,9,667,579,1246
South West Zone,2014,10,569,513,1082
South West Zone,2014,11,604,537,1141
South West Zone,2014,12,568,499,1067
South East Zone,2014,1,255,239,494
South East Zone,2014,2,171,150,321
South East Zone,2014,3,249,223,472
South East Zone,2014,4,184,182,366
South East Zone,2014,5,252,204,456
South East Zone,2014,6,198,163,361
South East Zone,2014,7,238,217,455
South East Zone,2014,8,251,226,477
South East Zone,2014,9,275,268,543
South East Zone,2014,10,234,235,469
South East Zone,2014,11,295,241,536
South East Zone,2014,12,268,235,503
