ZoneName,Year,Month,Male,Female,Total
West Zone,2010,1,253,208,461
West Zone,2010,2,223,207,430
West Zone,2010,3,281,232,513
West Zone,2010,4,234,229,463
West Zone,2010,5,210,202,412
West Zone,2010,6,232,210,442
West Zone,2010,7,228,217,445
West Zone,2010,8,266,211,477
West Zone,2010,9,330,276,606
West Zone,2010,10,315,274,589
West Zone,2010,11,248,243,491
West Zone,2010,12,251,214,465
Central Zone,2010,1,478,437,915
Central Zone,2010,2,458,421,879
Central Zone,2010,3,550,485,1035
Central Zone,2010,4,532,449,981
Central Zone,2010,5,514,449,963
Central Zone,2010,6,426,339,765
Central Zone,2010,7,504,418,922
Central Zone,2010,8,620,537,1157
Central Zone,2010,9,679,590,1269
Central Zone,2010,10,585,549,1134
Central Zone,2010,11,645,548,1193
Central Zone,2010,12,601,496,1097
North Zone,2010,1,321,256,577
North Zone,2010,2,261,210,471
North Zone,2010,3,350,291,641
North Zone,2010,4,279,220,499
North Zone,2010,5,287,219,506
North Zone,2010,6,363,237,600
North Zone,2010,7,359,276,635
North Zone,2010,8,449,318,767
North Zone,2010,9,396,320,716
North Zone,2010,10,461,320,781
North Zone,2010,11,393,316,709
North Zone,2010,12,361,312,673
East Zone,2010,1,996,742,1738
East Zone,2010,2,666,508,1174
East Zone,2010,3,962,623,1585
East Zone,2010,4,815,588,1403
East Zone,2010,5,923,690,1613
East Zone,2010,6,845,625,1470
East Zone,2010,7,860,644,1504
East Zone,2010,8,1119,769,1888
East Zone,2010,9,1183,870,2053
East Zone,2010,10,1134,854,1988
East Zone,2010,11,1154,856,2010
East Zone,2010,12,889,686,1575
South Zone,2010,1,331,258,589
South Zone,2010,2,321,266,587
South Zone,2010,3,361,296,657
South Zone,2010,4,340,255,595
South Zone,2010,5,330,304,634
South Zone,2010,6,306,267,573
South Zone,2010,7,305,269,574
South Zone,2010,8,449,351,800
South Zone,2010,9,397,356,753
South Zone,2010,10,494,416,910
South Zone,2010,11,352,305,657
South Zone,2010,12,450,332,782
South West Zone,2010,1,412,340,752
South West Zone,2010,2,327,272,599
South West Zone,2010,3,417,343,760
South West Zone,2010,4,364,328,692
South West Zone,2010,5,328,325,653
South West Zone,2010,6,375,323,698
South West Zone,2010,7,422,349,771
South West Zone,2010,8,465,416,881
South West Zone,2010,9,501,382,883
South West Zone,2010,10,560,509,1069
South West Zone,2010,11,485,399,884
South West Zone,2010,12,438,381,819
South East Zone,2010,1,309,315,624
South East Zone,2010,2,295,260,555
South East Zone,2010,3,287,223,510
South East Zone,2010,4,290,254,544
South East Zone,2010,5,295,278,573
South East Zone,2010,6,310,254,564
South East Zone,2010,7,324,296,620
South East Zone,2010,8,301,268,569
South East Zone,2010,9,422,366,788
South East Zone,2010,10,400,341,741
South East Zone,2010,11,317,318,635
South East Zone,2010,12,339,318,657
