ZoneName,Year,Month,Male,Female,Total
West Zone,2009,1,301,246,547
West Zone,2009,2,221,178,399
West Zone,2009,3,333,288,621
West Zone,2009,4,248,189,437
West Zone,2009,5,233,227,460
West Zone,2009,6,252,223,475
West Zone,2009,7,272,225,497
West Zone,2009,8,252,224,476
West Zone,2009,9,312,262,574
West Zone,2009,10,296,258,554
West Zone,2009,11,262,218,480
West Zone,2009,12,318,237,555
Central Zone,2009,1,554,491,1045
Central Zone,2009,2,490,471,961
Central Zone,2009,3,562,536,1098
Central Zone,2009,4,445,434,879
Central Zone,2009,5,513,464,977
Central Zone,2009,6,459,435,894
Central Zone,2009,7,452,388,840
Central Zone,2009,8,562,535,1097
Central Zone,2009,9,636,526,1162
Central Zone,2009,10,610,512,1122
Central Zone,2009,11,544,509,1053
Central Zone,2009,12,592,530,1122
North Zone,2009,1,336,249,585
North Zone,2009,2,252,214,466
North Zone,2009,3,284,227,511
North Zone,2009,4,242,215,457
North Zone,2009,5,292,228,520
North Zone,2009,6,273,224,497
North Zone,2009,7,309,210,519
North Zone,2009,8,330,261,591
North Zone,2009,9,345,271,616
North Zone,2009,10,366,310,676
North Zone,2009,11,350,270,620
North Zone,2009,12,330,275,605
East Zone,2009,1,983,792,1775
East Zone,2009,2,809,600,1409
East Zone,2009,3,891,685,1576
East Zone,2009,4,779,640,1419
East Zone,2009,5,767,620,1387
East Zone,2009,6,840,653,1493
East Zone,2009,7,871,648,1519
East Zone,2009,8,936,694,1630
East Zone,2009,9,868,638,1506
East Zone,2009,10,1200,879,2079
East Zone,2009,11,796,641,1437
East Zone,2009,12,847,689,1536
South Zone,2009,1,371,334,705
South Zone,2009,2,340,267,607
South Zone,2009,3,320,283,603
South Zone,2009,4,369,297,666
South Zone,2009,5,362,336,698
South Zone,2009,6,306,262,568
South Zone,2009,7,311,260,571
South Zone,2009,8,407,324,731
South Zone,2009,9,432,355,787
South Zone,2009,10,475,360,835
South Zone,2009,11,402,358,760
South Zone,2009,12,392,309,701
South West Zone,2009,1,349,317,666
South West Zone,2009,2,315,282,597
South West Zone,2009,3,406,349,755
South West Zone,2009,4,295,243,538
South West Zone,2009,5,339,300,639
South West Zone,2009,6,313,245,558
South West Zone,2009,7,309,292,601
South West Zone,2009,8,392,362,754
South West Zone,2009,9,409,325,734
South West Zone,2009,10,397,373,770
South West Zone,2009,11,484,430,914
South West Zone,2009,12,391,279,670
South East Zone,2009,1,323,292,615
South East Zone,2009,2,285,248,533
South East Zone,2009,3,340,292,632
South East Zone,2009,4,277,250,527
South East Zone,2009,5,237,255,492
South East Zone,2009,6,262,270,532
South East Zone,2009,7,309,276,585
South East Zone,2009,8,318,317,635
South East Zone,2009,9,346,313,659
South East Zone,2009,10,306,261,567
South East Zone,2009,11,316,311,627
South East Zone,2009,12,355,317,672
